cust_num,DMA,geo_demog_desc,comment_ind,prod_flg_10,prod_flg_11,tenure_months,dc_flg,cpe_cnt,svc_flg_01,svc_flg_02,prod_flg_01,prod_flg_02,prod_flg_03,prod_flg_04,prod_flg_05,prod_flg_06,prod_flg_07,prod_flg_08,prod_flg_09,prior_retention_handling_cnt,prior_escalations_cnt,prior_sprvsr_cnt,addl_cpe_cnt,prior_bill_credit_cnt,prior_bill_calls,prior_gen_Q_cnt,prior_svc_change_cnt,contract_flg,delta_metric_01,prior_reconnect_cnt,credit_score,vol_disco_ind,acct_type,product
50420727,Memphis TN,"RED, WHITE & BLUES",1,0,0,0,N,4,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,709,1,T006,P0001
20939595,Springfield-Holyoke MA,YOUNG & RUSTICS,1,0,0,3,Y,2,0,0,0,,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,N,0,0,961,1,T019,P0001
21679678,Greensboro - Winston-Salem NC,MAYBERRY-VILLE,1,0,0,3,Y,2,0,0,0,,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,N,0,2,999,1,T019,P0001
23018802,Los Angeles CA,MONEY & BRAINS,1,0,0,51,Y,2,0,0,0,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,N,0,0,999,1,T019,P0001
28170612,Albuquerque-Santa Fe NM,"BIG FISH, SMALL POND",1,0,0,44,Y,2,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,2,0,1,2,N,-9.98,0,999,1,T019,P0001
44005934,Harrisburg-Lancaster PA,SUBURBAN SPRAWL,1,0,0,3,Y,2,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,N,0,0,987,1,T019,P0001
44047570,Los Angeles CA,BIG CITY BLUES,1,0,0,2,Y,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,N,0,1,993,1,T019,P0001
44126687,Unserved - Albany-Schenectady-Troy NY,TRADITIONAL TIMES,1,0,0,2,Y,4,0,0,0,,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,N,0,1,958,1,T019,P0001
50292301,Seattle-Tacoma WA,FAMILY THRIFTS,1,0,0,2,Y,2,0,0,0,,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,N,0,1,999,1,T019,P0001
50343302,Wilmington NC,"KID COUNTRY, USA",1,0,0,1,Y,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,980,1,T019,P0001
